Pick up: 188| Drop off: 24| Hour/Min/Sec: 0:0:00
Pick up: 79| Drop off: 159| Hour/Min/Sec: 0:32:00
Pick up: 198| Drop off: 80| Hour/Min/Sec: 0:32:00
Pick up: 17| Drop off: 152| Hour/Min/Sec: 0:33:00
Pick up: 170| Drop off: 159| Hour/Min/Sec: 0:34:00
Pick up: 89| Drop off: 67| Hour/Min/Sec: 0:34:00
Pick up: 162| Drop off: 149| Hour/Min/Sec: 0:34:00
Pick up: 73| Drop off: 7| Hour/Min/Sec: 0:35:00
Pick up: 178| Drop off: 33| Hour/Min/Sec: 0:36:00
Pick up: 84| Drop off: 113| Hour/Min/Sec: 0:37:00
Pick up: 19| Drop off: 105| Hour/Min/Sec: 0:37:00
Pick up: 22| Drop off: 78| Hour/Min/Sec: 0:39:00
Pick up: 26| Drop off: 96| Hour/Min/Sec: 0:40:00
Pick up: 181| Drop off: 145| Hour/Min/Sec: 0:40:00
Pick up: 4| Drop off: 86| Hour/Min/Sec: 0:40:00
Pick up: 28| Drop off: 179| Hour/Min/Sec: 0:41:00
Pick up: 94| Drop off: 76| Hour/Min/Sec: 0:42:00
Pick up: 183| Drop off: 116| Hour/Min/Sec: 0:43:00
Pick up: 10| Drop off: 186| Hour/Min/Sec: 0:43:00
Pick up: 69| Drop off: 43| Hour/Min/Sec: 0:45:00
Pick up: 125| Drop off: 73| Hour/Min/Sec: 0:45:00
Pick up: 78| Drop off: 135| Hour/Min/Sec: 0:46:00
Pick up: 136| Drop off: 74| Hour/Min/Sec: 0:47:00
Pick up: 147| Drop off: 138| Hour/Min/Sec: 0:47:00
Pick up: 101| Drop off: 169| Hour/Min/Sec: 0:48:00
Pick up: 89| Drop off: 99| Hour/Min/Sec: 0:48:00
Pick up: 73| Drop off: 142| Hour/Min/Sec: 0:50:00
Pick up: 47| Drop off: 16| Hour/Min/Sec: 0:50:00
Pick up: 130| Drop off: 127| Hour/Min/Sec: 0:50:00
Pick up: 134| Drop off: 109| Hour/Min/Sec: 0:50:00
Pick up: 129| Drop off: 178| Hour/Min/Sec: 0:50:00
Pick up: 163| Drop off: 103| Hour/Min/Sec: 0:51:00
Pick up: 17| Drop off: 62| Hour/Min/Sec: 0:51:00
Pick up: 42| Drop off: 50| Hour/Min/Sec: 0:51:00
Pick up: 7| Drop off: 52| Hour/Min/Sec: 0:51:00
Pick up: 152| Drop off: 143| Hour/Min/Sec: 0:52:00
Pick up: 34| Drop off: 131| Hour/Min/Sec: 0:53:00
Pick up: 191| Drop off: 67| Hour/Min/Sec: 0:53:00
Pick up: 59| Drop off: 100| Hour/Min/Sec: 0:54:00
Pick up: 197| Drop off: 19| Hour/Min/Sec: 0:55:00
Pick up: 128| Drop off: 43| Hour/Min/Sec: 0:55:00
Pick up: 12| Drop off: 25| Hour/Min/Sec: 0:56:00
Pick up: 144| Drop off: 70| Hour/Min/Sec: 0:56:00
Pick up: 159| Drop off: 129| Hour/Min/Sec: 0:57:00
Pick up: 187| Drop off: 102| Hour/Min/Sec: 0:57:00
Pick up: 52| Drop off: 131| Hour/Min/Sec: 0:58:00
Pick up: 3| Drop off: 155| Hour/Min/Sec: 0:58:00
Pick up: 114| Drop off: 173| Hour/Min/Sec: 1:0:00
Pick up: 0| Drop off: 196| Hour/Min/Sec: 1:0:00
Pick up: 132| Drop off: 49| Hour/Min/Sec: 1:1:00
Pick up: 178| Drop off: 117| Hour/Min/Sec: 1:1:00
Pick up: 115| Drop off: 62| Hour/Min/Sec: 1:2:00
Pick up: 119| Drop off: 161| Hour/Min/Sec: 1:2:00
Pick up: 8| Drop off: 157| Hour/Min/Sec: 1:2:00
Pick up: 69| Drop off: 44| Hour/Min/Sec: 1:3:00
Pick up: 124| Drop off: 116| Hour/Min/Sec: 1:4:00
Pick up: 182| Drop off: 109| Hour/Min/Sec: 1:4:00
Pick up: 114| Drop off: 150| Hour/Min/Sec: 1:5:00
Pick up: 24| Drop off: 66| Hour/Min/Sec: 1:5:00
Pick up: 27| Drop off: 178| Hour/Min/Sec: 1:6:00
Pick up: 159| Drop off: 85| Hour/Min/Sec: 1:6:00
Pick up: 52| Drop off: 11| Hour/Min/Sec: 1:6:00
Pick up: 46| Drop off: 44| Hour/Min/Sec: 1:6:00
Pick up: 147| Drop off: 23| Hour/Min/Sec: 1:6:00
Pick up: 158| Drop off: 26| Hour/Min/Sec: 1:6:00
Pick up: 114| Drop off: 198| Hour/Min/Sec: 1:6:00
Pick up: 85| Drop off: 3| Hour/Min/Sec: 1:7:00
Pick up: 113| Drop off: 74| Hour/Min/Sec: 1:7:00
Pick up: 123| Drop off: 175| Hour/Min/Sec: 1:7:00
Pick up: 69| Drop off: 95| Hour/Min/Sec: 1:8:00
Pick up: 108| Drop off: 113| Hour/Min/Sec: 1:9:00
Pick up: 141| Drop off: 77| Hour/Min/Sec: 1:10:00
Pick up: 3| Drop off: 168| Hour/Min/Sec: 1:10:00
Pick up: 96| Drop off: 159| Hour/Min/Sec: 1:10:00
Pick up: 112| Drop off: 129| Hour/Min/Sec: 1:11:00
Pick up: 95| Drop off: 120| Hour/Min/Sec: 1:11:00
Pick up: 59| Drop off: 20| Hour/Min/Sec: 1:12:00
Pick up: 137| Drop off: 35| Hour/Min/Sec: 1:13:00
Pick up: 152| Drop off: 138| Hour/Min/Sec: 1:13:00
Pick up: 45| Drop off: 125| Hour/Min/Sec: 1:13:00
Pick up: 56| Drop off: 159| Hour/Min/Sec: 1:13:00
Pick up: 76| Drop off: 198| Hour/Min/Sec: 1:13:00
Pick up: 85| Drop off: 35| Hour/Min/Sec: 1:13:00
Pick up: 107| Drop off: 6| Hour/Min/Sec: 1:14:00
Pick up: 132| Drop off: 148| Hour/Min/Sec: 1:14:00
Pick up: 19| Drop off: 140| Hour/Min/Sec: 1:14:00
Pick up: 13| Drop off: 120| Hour/Min/Sec: 1:15:00
Pick up: 73| Drop off: 82| Hour/Min/Sec: 1:15:00
Pick up: 193| Drop off: 13| Hour/Min/Sec: 1:16:00
Pick up: 74| Drop off: 58| Hour/Min/Sec: 1:16:00
Pick up: 99| Drop off: 36| Hour/Min/Sec: 1:16:00
Pick up: 102| Drop off: 149| Hour/Min/Sec: 1:16:00
Pick up: 54| Drop off: 58| Hour/Min/Sec: 1:16:00
Pick up: 9| Drop off: 157| Hour/Min/Sec: 1:17:00
Pick up: 173| Drop off: 43| Hour/Min/Sec: 1:17:00
Pick up: 84| Drop off: 111| Hour/Min/Sec: 1:18:00
Pick up: 197| Drop off: 101| Hour/Min/Sec: 1:19:00
Pick up: 147| Drop off: 135| Hour/Min/Sec: 1:19:00
Pick up: 29| Drop off: 9| Hour/Min/Sec: 1:19:00
Pick up: 62| Drop off: 14| Hour/Min/Sec: 1:20:00
Pick up: 26| Drop off: 174| Hour/Min/Sec: 1:20:00
Pick up: 83| Drop off: 53| Hour/Min/Sec: 1:20:00
Pick up: 44| Drop off: 169| Hour/Min/Sec: 1:21:00
Pick up: 120| Drop off: 0| Hour/Min/Sec: 1:22:00
Pick up: 193| Drop off: 83| Hour/Min/Sec: 1:23:00
Pick up: 77| Drop off: 1| Hour/Min/Sec: 1:23:00
Pick up: 162| Drop off: 100| Hour/Min/Sec: 1:24:00
Pick up: 22| Drop off: 156| Hour/Min/Sec: 1:24:00
Pick up: 107| Drop off: 0| Hour/Min/Sec: 1:24:00
Pick up: 99| Drop off: 144| Hour/Min/Sec: 1:25:00
Pick up: 66| Drop off: 76| Hour/Min/Sec: 1:25:00
Pick up: 185| Drop off: 197| Hour/Min/Sec: 1:26:00
Pick up: 125| Drop off: 190| Hour/Min/Sec: 1:26:00
Pick up: 30| Drop off: 155| Hour/Min/Sec: 1:26:00
Pick up: 16| Drop off: 113| Hour/Min/Sec: 1:27:00
Pick up: 147| Drop off: 93| Hour/Min/Sec: 1:28:00
Pick up: 13| Drop off: 147| Hour/Min/Sec: 1:28:00
Pick up: 186| Drop off: 95| Hour/Min/Sec: 1:29:00
Pick up: 171| Drop off: 62| Hour/Min/Sec: 1:29:00
Pick up: 166| Drop off: 177| Hour/Min/Sec: 1:30:00
Pick up: 137| Drop off: 154| Hour/Min/Sec: 1:30:00
Pick up: 124| Drop off: 92| Hour/Min/Sec: 1:30:00
Pick up: 136| Drop off: 172| Hour/Min/Sec: 1:31:00
Pick up: 12| Drop off: 199| Hour/Min/Sec: 1:32:00
Pick up: 150| Drop off: 77| Hour/Min/Sec: 1:32:00
Pick up: 62| Drop off: 66| Hour/Min/Sec: 1:32:00
Pick up: 4| Drop off: 45| Hour/Min/Sec: 1:33:00
Pick up: 190| Drop off: 57| Hour/Min/Sec: 1:34:00
Pick up: 116| Drop off: 9| Hour/Min/Sec: 1:34:00
Pick up: 192| Drop off: 92| Hour/Min/Sec: 1:35:00
Pick up: 182| Drop off: 61| Hour/Min/Sec: 1:35:00
Pick up: 144| Drop off: 82| Hour/Min/Sec: 1:35:00
Pick up: 42| Drop off: 40| Hour/Min/Sec: 1:35:00
Pick up: 8| Drop off: 33| Hour/Min/Sec: 1:35:00
Pick up: 14| Drop off: 18| Hour/Min/Sec: 1:36:00
Pick up: 82| Drop off: 84| Hour/Min/Sec: 1:36:00
Pick up: 158| Drop off: 100| Hour/Min/Sec: 1:36:00
Pick up: 122| Drop off: 1| Hour/Min/Sec: 1:37:00
Pick up: 4| Drop off: 8| Hour/Min/Sec: 1:37:00
Pick up: 184| Drop off: 164| Hour/Min/Sec: 1:37:00
Pick up: 182| Drop off: 151| Hour/Min/Sec: 1:37:00
Pick up: 41| Drop off: 181| Hour/Min/Sec: 1:37:00
Pick up: 160| Drop off: 133| Hour/Min/Sec: 1:38:00
Pick up: 128| Drop off: 131| Hour/Min/Sec: 1:39:00
Pick up: 196| Drop off: 86| Hour/Min/Sec: 1:39:00
Pick up: 177| Drop off: 163| Hour/Min/Sec: 1:39:00
Pick up: 32| Drop off: 83| Hour/Min/Sec: 1:40:00
Pick up: 3| Drop off: 179| Hour/Min/Sec: 1:40:00
Pick up: 14| Drop off: 155| Hour/Min/Sec: 1:40:00
Pick up: 11| Drop off: 192| Hour/Min/Sec: 1:40:00
Pick up: 30| Drop off: 178| Hour/Min/Sec: 1:40:00
Pick up: 81| Drop off: 28| Hour/Min/Sec: 1:41:00
Pick up: 3| Drop off: 17| Hour/Min/Sec: 1:41:00
Pick up: 29| Drop off: 92| Hour/Min/Sec: 1:42:00
Pick up: 100| Drop off: 29| Hour/Min/Sec: 1:43:00
Pick up: 142| Drop off: 177| Hour/Min/Sec: 1:44:00
Pick up: 34| Drop off: 166| Hour/Min/Sec: 1:44:00
Pick up: 159| Drop off: 27| Hour/Min/Sec: 1:45:00
Pick up: 134| Drop off: 127| Hour/Min/Sec: 1:46:00
Pick up: 152| Drop off: 2| Hour/Min/Sec: 1:46:00
Pick up: 183| Drop off: 14| Hour/Min/Sec: 1:46:00
Pick up: 141| Drop off: 81| Hour/Min/Sec: 1:47:00
Pick up: 184| Drop off: 171| Hour/Min/Sec: 1:47:00
Pick up: 182| Drop off: 140| Hour/Min/Sec: 1:48:00
Pick up: 171| Drop off: 92| Hour/Min/Sec: 1:48:00
Pick up: 0| Drop off: 162| Hour/Min/Sec: 1:49:00
Pick up: 37| Drop off: 140| Hour/Min/Sec: 1:49:00
Pick up: 45| Drop off: 97| Hour/Min/Sec: 1:49:00
Pick up: 180| Drop off: 174| Hour/Min/Sec: 1:50:00
Pick up: 144| Drop off: 35| Hour/Min/Sec: 1:50:00
Pick up: 52| Drop off: 144| Hour/Min/Sec: 1:51:00
Pick up: 113| Drop off: 167| Hour/Min/Sec: 1:51:00
Pick up: 64| Drop off: 61| Hour/Min/Sec: 1:52:00
Pick up: 124| Drop off: 155| Hour/Min/Sec: 1:53:00
Pick up: 98| Drop off: 118| Hour/Min/Sec: 1:53:00
Pick up: 65| Drop off: 162| Hour/Min/Sec: 1:53:00
Pick up: 51| Drop off: 32| Hour/Min/Sec: 1:54:00
Pick up: 152| Drop off: 0| Hour/Min/Sec: 1:54:00
Pick up: 62| Drop off: 28| Hour/Min/Sec: 1:54:00
Pick up: 19| Drop off: 109| Hour/Min/Sec: 1:54:00
Pick up: 172| Drop off: 188| Hour/Min/Sec: 1:54:00
Pick up: 101| Drop off: 4| Hour/Min/Sec: 1:54:00
Pick up: 92| Drop off: 58| Hour/Min/Sec: 1:55:00
Pick up: 45| Drop off: 28| Hour/Min/Sec: 1:55:00
Pick up: 25| Drop off: 151| Hour/Min/Sec: 1:55:00
Pick up: 197| Drop off: 86| Hour/Min/Sec: 1:56:00
Pick up: 22| Drop off: 86| Hour/Min/Sec: 1:56:00
Pick up: 143| Drop off: 143| Hour/Min/Sec: 1:56:00
Pick up: 129| Drop off: 151| Hour/Min/Sec: 1:56:00
Pick up: 147| Drop off: 48| Hour/Min/Sec: 1:57:00
Pick up: 64| Drop off: 170| Hour/Min/Sec: 1:57:00
Pick up: 174| Drop off: 172| Hour/Min/Sec: 1:58:00
Pick up: 62| Drop off: 131| Hour/Min/Sec: 1:58:00
Pick up: 52| Drop off: 38| Hour/Min/Sec: 1:59:00
Pick up: 127| Drop off: 136| Hour/Min/Sec: 1:59:00
Pick up: 101| Drop off: 74| Hour/Min/Sec: 2:0:00
Pick up: 105| Drop off: 165| Hour/Min/Sec: 2:1:00
Pick up: 47| Drop off: 122| Hour/Min/Sec: 2:1:00
Pick up: 103| Drop off: 76| Hour/Min/Sec: 2:1:00
Pick up: 56| Drop off: 104| Hour/Min/Sec: 2:1:00
Pick up: 38| Drop off: 187| Hour/Min/Sec: 2:1:00
Pick up: 91| Drop off: 156| Hour/Min/Sec: 2:2:00
Pick up: 74| Drop off: 22| Hour/Min/Sec: 2:2:00
Pick up: 105| Drop off: 107| Hour/Min/Sec: 2:3:00
Pick up: 53| Drop off: 147| Hour/Min/Sec: 2:3:00
Pick up: 17| Drop off: 32| Hour/Min/Sec: 2:3:00
Pick up: 61| Drop off: 165| Hour/Min/Sec: 2:3:00
Pick up: 160| Drop off: 21| Hour/Min/Sec: 2:4:00
Pick up: 198| Drop off: 157| Hour/Min/Sec: 2:4:00
Pick up: 106| Drop off: 124| Hour/Min/Sec: 2:5:00
Pick up: 169| Drop off: 135| Hour/Min/Sec: 2:6:00
Pick up: 159| Drop off: 0| Hour/Min/Sec: 2:7:00
Pick up: 57| Drop off: 38| Hour/Min/Sec: 2:9:00
Pick up: 146| Drop off: 52| Hour/Min/Sec: 2:9:00
Pick up: 84| Drop off: 166| Hour/Min/Sec: 2:9:00
Pick up: 199| Drop off: 91| Hour/Min/Sec: 2:10:00
Pick up: 198| Drop off: 197| Hour/Min/Sec: 2:10:00
Pick up: 133| Drop off: 106| Hour/Min/Sec: 2:10:00
Pick up: 9| Drop off: 56| Hour/Min/Sec: 2:11:00
Pick up: 22| Drop off: 101| Hour/Min/Sec: 2:11:00
Pick up: 179| Drop off: 86| Hour/Min/Sec: 2:11:00
Pick up: 97| Drop off: 141| Hour/Min/Sec: 2:11:00
Pick up: 102| Drop off: 4| Hour/Min/Sec: 2:12:00
Pick up: 67| Drop off: 49| Hour/Min/Sec: 2:12:00
Pick up: 8| Drop off: 35| Hour/Min/Sec: 2:12:00
Pick up: 142| Drop off: 66| Hour/Min/Sec: 2:12:00
Pick up: 104| Drop off: 96| Hour/Min/Sec: 2:12:00
Pick up: 7| Drop off: 59| Hour/Min/Sec: 2:13:00
Pick up: 11| Drop off: 108| Hour/Min/Sec: 2:13:00
Pick up: 193| Drop off: 122| Hour/Min/Sec: 2:13:00
Pick up: 27| Drop off: 1| Hour/Min/Sec: 2:14:00
Pick up: 181| Drop off: 13| Hour/Min/Sec: 2:14:00
Pick up: 147| Drop off: 93| Hour/Min/Sec: 2:14:00
Pick up: 105| Drop off: 70| Hour/Min/Sec: 2:14:00
Pick up: 193| Drop off: 164| Hour/Min/Sec: 2:15:00
Pick up: 48| Drop off: 172| Hour/Min/Sec: 2:15:00
Pick up: 65| Drop off: 136| Hour/Min/Sec: 2:16:00
Pick up: 101| Drop off: 137| Hour/Min/Sec: 2:17:00
Pick up: 159| Drop off: 66| Hour/Min/Sec: 2:18:00
Pick up: 174| Drop off: 74| Hour/Min/Sec: 2:18:00
Pick up: 181| Drop off: 115| Hour/Min/Sec: 2:18:00
Pick up: 169| Drop off: 115| Hour/Min/Sec: 2:19:00
Pick up: 132| Drop off: 46| Hour/Min/Sec: 2:19:00
Pick up: 52| Drop off: 129| Hour/Min/Sec: 2:19:00
Pick up: 130| Drop off: 139| Hour/Min/Sec: 2:19:00
Pick up: 70| Drop off: 88| Hour/Min/Sec: 2:19:00
Pick up: 6| Drop off: 124| Hour/Min/Sec: 2:20:00
Pick up: 165| Drop off: 106| Hour/Min/Sec: 2:21:00
Pick up: 57| Drop off: 65| Hour/Min/Sec: 2:21:00
Pick up: 92| Drop off: 104| Hour/Min/Sec: 2:21:00
Pick up: 128| Drop off: 152| Hour/Min/Sec: 2:21:00
Pick up: 74| Drop off: 119| Hour/Min/Sec: 2:22:00
Pick up: 144| Drop off: 51| Hour/Min/Sec: 2:22:00
Pick up: 191| Drop off: 98| Hour/Min/Sec: 2:22:00
Pick up: 197| Drop off: 150| Hour/Min/Sec: 2:23:00
Pick up: 194| Drop off: 45| Hour/Min/Sec: 2:24:00
Pick up: 198| Drop off: 133| Hour/Min/Sec: 2:25:00
Pick up: 60| Drop off: 134| Hour/Min/Sec: 2:25:00
Pick up: 153| Drop off: 41| Hour/Min/Sec: 2:25:00
Pick up: 77| Drop off: 35| Hour/Min/Sec: 2:26:00
Pick up: 170| Drop off: 197| Hour/Min/Sec: 2:26:00
Pick up: 160| Drop off: 123| Hour/Min/Sec: 2:27:00
Pick up: 51| Drop off: 164| Hour/Min/Sec: 2:27:00
Pick up: 152| Drop off: 34| Hour/Min/Sec: 2:28:00
Pick up: 29| Drop off: 13| Hour/Min/Sec: 2:28:00
Pick up: 147| Drop off: 100| Hour/Min/Sec: 2:29:00
Pick up: 174| Drop off: 71| Hour/Min/Sec: 2:29:00
Pick up: 183| Drop off: 86| Hour/Min/Sec: 2:29:00
Pick up: 99| Drop off: 70| Hour/Min/Sec: 2:30:00
Pick up: 50| Drop off: 173| Hour/Min/Sec: 2:30:00
Pick up: 3| Drop off: 106| Hour/Min/Sec: 2:31:00
Pick up: 194| Drop off: 154| Hour/Min/Sec: 2:31:00
Pick up: 169| Drop off: 108| Hour/Min/Sec: 2:31:00
Pick up: 86| Drop off: 20| Hour/Min/Sec: 2:31:00
Pick up: 163| Drop off: 109| Hour/Min/Sec: 2:31:00
Pick up: 172| Drop off: 90| Hour/Min/Sec: 2:32:00
Pick up: 148| Drop off: 196| Hour/Min/Sec: 2:33:00
Pick up: 143| Drop off: 192| Hour/Min/Sec: 2:33:00
Pick up: 125| Drop off: 190| Hour/Min/Sec: 2:34:00
Pick up: 63| Drop off: 73| Hour/Min/Sec: 2:34:00
Pick up: 57| Drop off: 19| Hour/Min/Sec: 2:34:00
Pick up: 86| Drop off: 156| Hour/Min/Sec: 2:34:00
Pick up: 87| Drop off: 176| Hour/Min/Sec: 2:34:00
Pick up: 149| Drop off: 63| Hour/Min/Sec: 2:34:00
Pick up: 99| Drop off: 12| Hour/Min/Sec: 2:37:00
Pick up: 1| Drop off: 197| Hour/Min/Sec: 2:37:00
Pick up: 193| Drop off: 199| Hour/Min/Sec: 2:37:00
Pick up: 98| Drop off: 137| Hour/Min/Sec: 2:38:00
Pick up: 35| Drop off: 52| Hour/Min/Sec: 2:39:00
Pick up: 67| Drop off: 14| Hour/Min/Sec: 2:39:00
Pick up: 48| Drop off: 128| Hour/Min/Sec: 2:39:00
Pick up: 133| Drop off: 154| Hour/Min/Sec: 2:40:00
Pick up: 41| Drop off: 151| Hour/Min/Sec: 2:40:00
Pick up: 66| Drop off: 156| Hour/Min/Sec: 2:41:00
Pick up: 71| Drop off: 34| Hour/Min/Sec: 2:42:00
Pick up: 109| Drop off: 149| Hour/Min/Sec: 2:42:00
Pick up: 137| Drop off: 168| Hour/Min/Sec: 2:43:00
Pick up: 17| Drop off: 76| Hour/Min/Sec: 2:43:00
Pick up: 87| Drop off: 58| Hour/Min/Sec: 2:43:00
Pick up: 184| Drop off: 29| Hour/Min/Sec: 2:43:00
Pick up: 78| Drop off: 163| Hour/Min/Sec: 2:44:00
Pick up: 84| Drop off: 148| Hour/Min/Sec: 2:44:00
Pick up: 35| Drop off: 186| Hour/Min/Sec: 2:45:00
Pick up: 125| Drop off: 5| Hour/Min/Sec: 2:45:00
Pick up: 92| Drop off: 174| Hour/Min/Sec: 2:45:00
Pick up: 16| Drop off: 169| Hour/Min/Sec: 2:46:00
Pick up: 130| Drop off: 35| Hour/Min/Sec: 2:46:00
Pick up: 124| Drop off: 71| Hour/Min/Sec: 2:46:00
Pick up: 43| Drop off: 135| Hour/Min/Sec: 2:47:00
Pick up: 156| Drop off: 190| Hour/Min/Sec: 2:48:00
Pick up: 72| Drop off: 63| Hour/Min/Sec: 2:48:00
Pick up: 163| Drop off: 21| Hour/Min/Sec: 2:48:00
Pick up: 66| Drop off: 56| Hour/Min/Sec: 2:48:00
Pick up: 177| Drop off: 95| Hour/Min/Sec: 2:48:00
Pick up: 92| Drop off: 137| Hour/Min/Sec: 2:49:00
Pick up: 117| Drop off: 129| Hour/Min/Sec: 2:49:00
Pick up: 72| Drop off: 67| Hour/Min/Sec: 2:49:00
Pick up: 157| Drop off: 140| Hour/Min/Sec: 2:50:00
Pick up: 101| Drop off: 12| Hour/Min/Sec: 2:50:00
Pick up: 26| Drop off: 126| Hour/Min/Sec: 2:51:00
Pick up: 72| Drop off: 110| Hour/Min/Sec: 2:51:00
Pick up: 161| Drop off: 105| Hour/Min/Sec: 2:52:00
Pick up: 59| Drop off: 44| Hour/Min/Sec: 2:53:00
Pick up: 174| Drop off: 174| Hour/Min/Sec: 2:54:00
Pick up: 193| Drop off: 122| Hour/Min/Sec: 2:54:00
Pick up: 74| Drop off: 159| Hour/Min/Sec: 2:54:00
Pick up: 112| Drop off: 140| Hour/Min/Sec: 2:54:00
Pick up: 117| Drop off: 8| Hour/Min/Sec: 2:54:00
Pick up: 111| Drop off: 182| Hour/Min/Sec: 2:54:00
Pick up: 51| Drop off: 142| Hour/Min/Sec: 2:56:00
Pick up: 51| Drop off: 98| Hour/Min/Sec: 2:56:00
Pick up: 158| Drop off: 175| Hour/Min/Sec: 2:56:00
Pick up: 176| Drop off: 160| Hour/Min/Sec: 2:56:00
Pick up: 24| Drop off: 1| Hour/Min/Sec: 2:57:00
Pick up: 81| Drop off: 98| Hour/Min/Sec: 2:57:00
Pick up: 158| Drop off: 47| Hour/Min/Sec: 2:58:00
Pick up: 74| Drop off: 2| Hour/Min/Sec: 2:59:00
Pick up: 195| Drop off: 53| Hour/Min/Sec: 2:59:00
Pick up: 198| Drop off: 129| Hour/Min/Sec: 2:59:00
Pick up: 41| Drop off: 1| Hour/Min/Sec: 2:59:00
Pick up: 39| Drop off: 142| Hour/Min/Sec: 2:59:00
Pick up: 116| Drop off: 98| Hour/Min/Sec: 2:59:00
Pick up: 181| Drop off: 153| Hour/Min/Sec: 2:59:00
Pick up: 36| Drop off: 152| Hour/Min/Sec: 3:1:00
Pick up: 170| Drop off: 9| Hour/Min/Sec: 3:2:00
Pick up: 124| Drop off: 37| Hour/Min/Sec: 3:3:00
Pick up: 107| Drop off: 138| Hour/Min/Sec: 3:3:00
Pick up: 91| Drop off: 126| Hour/Min/Sec: 3:4:00
Pick up: 191| Drop off: 176| Hour/Min/Sec: 3:4:00
Pick up: 136| Drop off: 64| Hour/Min/Sec: 3:5:00
Pick up: 36| Drop off: 51| Hour/Min/Sec: 3:6:00
Pick up: 167| Drop off: 59| Hour/Min/Sec: 3:6:00
Pick up: 188| Drop off: 18| Hour/Min/Sec: 3:6:00
